Frequency (Hz),FrontAxle_Left Front (G²/Hz),FrontAxle_Left_Rear (G²/Hz),FrontAxle_Right_Front (G²/Hz),FrontAxle_Right_Rear (G²/Hz)
0,0.000434515259,0.0003244089548,0.001403796987,0.0003597422223
9.765625,0.0002744876382,0.0002024713068,0.0004874528016,0.0001379690015
19.53125,0.0001801036334,0.0001035607801,0.0001478902299,4.56E-05
29.296875,6.55E-05,9.36E-05,9.17E-05,3.07E-05
39.0625,1.86E-05,0.0002180369644,3.29E-05,5.50E-05
48.828125,1.02E-05,0.0001037313559,1.45E-05,3.30E-05
58.59375,1.93E-05,6.78E-05,2.87E-05,5.90E-05
68.359375,3.38E-05,0.0001059043048,4.79E-05,8.72E-05
78.125,0.0001037998476,0.0001672315176,0.0001514509768,0.0001796815622
87.890625,0.0001327056984,0.0001021520502,0.0001560075297,0.0001425609308
97.65625,4.93E-05,1.99E-05,4.39E-05,3.27E-05
107.421875,1.58E-05,1.49E-05,2.38E-05,1.85E-05
117.1875,1.02E-05,2.28E-05,2.91E-05,3.25E-05
126.953125,7.35E-06,1.85E-05,1.63E-05,4.91E-05
136.71875,4.67E-06,1.16E-05,1.30E-05,5.44E-05
146.484375,4.90E-06,1.30E-05,1.27E-05,3.29E-05
156.25,3.42E-06,8.13E-06,1.31E-05,1.57E-05
166.015625,4.20E-06,5.72E-06,7.85E-06,1.86E-05
175.78125,9.37E-06,4.38E-06,5.42E-06,2.29E-05
185.546875,1.19E-05,3.41E-06,4.82E-06,1.26E-05
195.3125,7.70E-06,5.51E-06,3.98E-06,6.86E-06
205.078125,6.45E-06,9.28E-06,5.96E-06,9.42E-06
214.84375,4.98E-06,7.94E-06,4.13E-06,6.19E-06
224.609375,4.06E-06,4.98E-06,1.99E-06,4.29E-06
234.375,3.00E-06,3.30E-06,1.95E-06,3.72E-06
244.140625,2.09E-06,2.08E-06,1.72E-06,3.03E-06
253.90625,1.97E-06,1.50E-06,2.15E-06,2.67E-06
263.671875,1.31E-06,1.39E-06,2.93E-06,3.96E-06
273.4375,1.56E-06,1.32E-06,3.57E-06,5.86E-06
283.203125,1.95E-06,1.03E-06,2.68E-06,4.97E-06
292.96875,1.92E-06,1.13E-06,1.83E-06,2.98E-06
302.734375,2.49E-06,1.69E-06,2.98E-06,3.42E-06
312.5,2.33E-06,2.32E-06,3.55E-06,4.11E-06
322.265625,1.57E-06,3.03E-06,3.12E-06,4.74E-06
332.03125,1.53E-06,3.10E-06,3.25E-06,5.78E-06
341.796875,2.53E-06,2.77E-06,2.03E-06,4.42E-06
351.5625,3.60E-06,3.04E-06,1.30E-06,3.29E-06
